Title,Subtitle,Author,Publisher,Publication Year,Price
Designing Data-Intensive Applications,"The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,O'Reilly Media,2017,"32,64 €"
Fluent Python,,Luciano Ramalho,O'Reilly Media,2022,"48,14 €"
Building Microservices,,Sam Newman,O'Reilly Media,2021,"40,65 €"
Architecture Patterns with Python,"Enabling Test-Driven Development, Domain-Driven Design, and Event-Driven Microservices",Harry Percival,O'Reilly Media,2020,"34,23 €"
Python for Data Analysis,"Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney,O'Reilly Media,2017,"34,23 €"
Software Engineering at Google,Lessons Learned from Programming Over Time,Titus Winters,O'Reilly Media,2020,"40,65 €"
CompTIA Security+ SY0-601 Exam Cram,,Martin M. Weiss,Pearson Education,2020,"36,69 €"
Head First C#,,Andrew Stellman,O'Reilly Media,2020,"37,44 €"
C# 10 in a Nutshell,,Joseph Albahari,O'Reilly Media,2022,"54,56 €"
Data Management at Scale,,Piethein Strengholt,O'Reilly Media,2020,"48,14 €"
