Model,Mileage,year,dealer_name,Price
Model X,"41,257 Miles",2017,Shift SF - Test Drives Delivered To You,"$71,950"
Model 3,"13,286 Miles",2019,Shift SF - Test Drives Delivered To You,"$55,950"
Model 3,"54,274 Miles",2019,Shift SF - Test Drives Delivered To You,"$44,450"
Model 3,"24,394 Miles",2019,Shift SF - Test Drives Delivered To You,"$48,450"
Model 3,"53,078 Miles",2018,Shift SF - Test Drives Delivered To You,"$46,950"
Model 3,"3,698 Miles",2021,Shift SF - Test Drives Delivered To You,"$68,950"
Model S,"62,259 Miles",2018,Shift SF - Test Drives Delivered To You,"$55,950"
Model S,"43,718 Miles",2018,Manly Honda,"$61,000"
Model 3,"10,982 Miles",2019,Shift SF - Test Drives Delivered To You,"$51,950"
Model 3,"52,425 Miles",2019,Shift SF - Test Drives Delivered To You,"$50,950"
Model Y,"14,270 Miles",2021,Lithia Chrysler Jeep Dodge Of Santa Rosa,"$67,998"
Model X,"45,729 Miles",2018,Volvo Of Palo Alto,"$85,900"
Model 3,"19,371 Miles",2019,Shift SF - Test Drives Delivered To You,"$53,450"
Model 3,"36,870 Miles",2019,Shift SF - Test Drives Delivered To You,"$52,950"
Model S,"47,921 Miles",2018,Manly Honda,"$61,000"
Model 3,"20,241 Miles",2018,Shift SF - Test Drives Delivered To You,"$52,450"
Model 3,"31,476 Miles",2018,Boardwalk Automall,"$55,113"
Model X,"36,467 Miles",2018,Shift SF - Test Drives Delivered To You,"$77,950"
Model 3,"14,155 Miles",2019,Shift SF - Test Drives Delivered To You,"$47,950"
Model 3,"19,692 Miles",2018,Shift SF - Test Drives Delivered To You,"$46,950"
Model 3,"27,259 Miles",2020,Shift SF - Test Drives Delivered To You,"$47,450"
Model S,"25,106 Miles",2019,Shift SF - Test Drives Delivered To You,"$75,950"
Model X,"49,648 Miles",2017,Shift SF - Test Drives Delivered To You,"$75,950"
Model X,"31,785 Miles",2017,Shift SF - Test Drives Delivered To You,"$75,950"
Model 3,"36,924 Miles",2019,Shift SF - Test Drives Delivered To You,"$51,950"
Model 3,"4,963 Miles",2020,San Jose Mitsubishi,"$61,497"
Model S,"45,600 Miles",2018,San Jose Mitsubishi,"$58,497"
Model 3,"14,266 Miles",2020,Shift SF - Test Drives Delivered To You,"$55,950"
Model 3,"4,407 Miles",2021,Shift SF - Test Drives Delivered To You,"$68,950"
Model 3,"25,203 Miles",2019,INFINITI Of Marin,"$49,990"
Model S,"35,386 Miles",2016,Livermore Ford Lincoln,"$66,989"
Model X,"34,207 Miles",2017,Elite Motor Cars,"$83,990"
Model 3,"50,420 Miles",2019,Shift SF - Test Drives Delivered To You,"$44,950"
Model X,"38,171 Miles",2016,Shift SF - Test Drives Delivered To You,"$69,950"
Model 3,"37,207 Miles",2019,Shift SF - Test Drives Delivered To You,"$46,950"
Model 3,"17,637 Miles",2021,Premier Nissan Of San Jose,"$52,884"
Model 3,"30,403 Miles",2018,Shift SF - Test Drives Delivered To You,"$47,950"
Model S,"46,181 Miles",2018,AutoLinx Inc.,"$62,988"
Model 3,"35,827 Miles",2019,Shift SF - Test Drives Delivered To You,"$51,450"
Model S,"44,448 Miles",2018,Manly Honda,"$61,000"
Model Y,"2,340 Miles",2022,CarMax Pleasanton - Now Open,"$83,998"
Model 3,"52,360 Miles",2018,Golden State Nissan,"$46,990"
Model Y,"8,258 Miles",2021,Manly Honda,"$74,500"
Model X,"32,165 Miles",2017,Marin Mazda,"$75,488"
Model 3,"28,654 Miles",2019,Shift SF - Test Drives Delivered To You,"$46,450"
